0;1;1;27.86529;43.59501;Dobrich;S
1;1;1;27.8397;43.62975;Dobrich;S
2;1;1;27.88375;43.57052;Dobrich;S
3;1;1;27.86497;43.58996;Dobrich;S
4;1;1;27.8759;43.62388;Dobrich;S
5;1;1;27.83686;43.54784;Dobrich;S
6;1;1;27.88879;43.58829;Dobrich;S
7;1;1;27.88365;43.54522;Dobrich;S
8;1;1;27.86147;43.61716;Dobrich;S
9;1;1;27.8463;43.63954;Dobrich;S
10;2;1;26.91988;46.57119;Adjud;S
11;2;1;26.94798;46.52425;Adjud;S
12;2;1;26.88666;46.57533;Adjud;S
13;2;1;26.95062;46.55931;Adjud;S
14;2;1;26.90004;46.5634;Adjud;S
15;2;1;26.88691;46.54336;Adjud;S
16;2;1;26.91553;46.57077;Adjud;S
17;2;1;26.9012;46.54428;Adjud;S
18;2;1;26.90019;46.56715;Adjud;S
19;2;1;26.90516;46.52334;Adjud;S
20;3;1;13.0603;47.83233;Salzburg;M
21;3;1;13.08393;47.83798;Salzburg;M
22;3;1;13.07026;47.80092;Salzburg;M
23;3;1;13.09478;47.86832;Salzburg;M
24;3;1;13.03376;47.8156;Salzburg;M
25;3;1;13.0758;47.85345;Salzburg;M
26;3;1;13.09085;47.82454;Salzburg;M
27;3;1;13.0834;47.84936;Salzburg;M
28;3;1;13.04654;47.84109;Salzburg;M
29;3;1;13.08707;47.86695;Salzburg;M
30;4;1;17.14476;48.14445;Bratislava;M
31;4;1;17.14513;48.15335;Bratislava;M
32;4;1;17.11218;48.11872;Bratislava;M
33;4;1;17.16558;48.13588;Bratislava;M
34;4;1;17.12187;48.14933;Bratislava;M
35;4;1;17.15897;48.1619;Bratislava;M
36;4;1;17.13599;48.13835;Bratislava;M
37;4;1;17.14535;48.17229;Bratislava;M
38;4;1;17.14623;48.13378;Bratislava;M
39;4;1;17.14404;48.09741;Bratislava;M
40;5;1;19.12068;47.37437;Budapest;L
41;5;1;19.08872;47.39471;Budapest;L
42;5;1;19.1545;47.38369;Budapest;L
43;5;1;19.11323;47.3414;Budapest;L
44;5;1;19.12084;47.42258;Budapest;L
45;5;1;19.13962;47.37833;Budapest;L
46;5;1;19.1459;47.34759;Budapest;L
47;5;1;19.12164;47.41962;Budapest;L
48;5;1;19.12613;47.37028;Budapest;L
49;5;1;19.10453;47.37917;Budapest;L
50;6;1;15.64119;48.41309;Krems;S
51;6;1;15.67319;48.36366;Krems;S
52;6;1;15.66105;48.44514;Krems;S
53;6;1;15.66822;48.43714;Krems;S
54;6;1;15.66283;48.41496;Krems;S
55;6;1;15.64549;48.4057;Krems;S
56;6;1;15.61012;48.45009;Krems;S
57;6;1;15.64609;48.38307;Krems;S
58;6;1;15.64152;48.41158;Krems;S
59;6;1;15.63117;48.3977;Krems;S
60;7;1;14.03042;48.11668;Wels;S
61;7;1;14.03311;48.12903;Wels;S
62;7;1;14.03829;48.11249;Wels;S
63;7;1;13.99738;48.08964;Wels;S
64;7;1;14.00782;48.12513;Wels;S
65;7;1;14.05569;48.14652;Wels;S
66;7;1;14.05122;48.14832;Wels;S
67;7;1;14.01329;48.15085;Wels;S
